Epoch: 001, aver_loss : 0.48494, R@20: 0.0646, N@20: 0.0438, R@10: 0.0371, N@10: 0.0314, R@50: 0.1311, N@50: 0.0672
Epoch: 002, aver_loss : 0.16042, R@20: 0.0753, N@20: 0.0528, R@10: 0.0437, N@10: 0.0387, R@50: 0.1486, N@50: 0.0786
Epoch: 003, aver_loss : 0.13660, R@20: 0.0844, N@20: 0.0592, R@10: 0.0491, N@10: 0.0434, R@50: 0.1626, N@50: 0.0867
Epoch: 004, aver_loss : 0.12781, R@20: 0.0894, N@20: 0.0632, R@10: 0.0528, N@10: 0.0468, R@50: 0.1718, N@50: 0.0922
Epoch: 005, aver_loss : 0.12248, R@20: 0.0922, N@20: 0.0654, R@10: 0.0544, N@10: 0.0485, R@50: 0.1774, N@50: 0.0954
Epoch: 006, aver_loss : 0.11858, R@20: 0.0949, N@20: 0.0674, R@10: 0.0561, N@10: 0.0501, R@50: 0.1820, N@50: 0.0980
Epoch: 007, aver_loss : 0.11393, R@20: 0.0975, N@20: 0.0695, R@10: 0.0581, N@10: 0.0519, R@50: 0.1864, N@50: 0.1008
Epoch: 008, aver_loss : 0.11011, R@20: 0.1002, N@20: 0.0716, R@10: 0.0597, N@10: 0.0536, R@50: 0.1907, N@50: 0.1035
Epoch: 009, aver_loss : 0.10605, R@20: 0.1027, N@20: 0.0737, R@10: 0.0614, N@10: 0.0552, R@50: 0.1948, N@50: 0.1061
Epoch: 010, aver_loss : 0.10243, R@20: 0.1050, N@20: 0.0754, R@10: 0.0628, N@10: 0.0566, R@50: 0.1983, N@50: 0.1083
Epoch: 011, aver_loss : 0.10080, R@20: 0.1076, N@20: 0.0772, R@10: 0.0644, N@10: 0.0579, R@50: 0.2033, N@50: 0.1109
Epoch: 012, aver_loss : 0.09836, R@20: 0.1095, N@20: 0.0786, R@10: 0.0655, N@10: 0.0589, R@50: 0.2068, N@50: 0.1129
Epoch: 013, aver_loss : 0.09569, R@20: 0.1112, N@20: 0.0798, R@10: 0.0667, N@10: 0.0600, R@50: 0.2102, N@50: 0.1147
Epoch: 014, aver_loss : 0.09489, R@20: 0.1125, N@20: 0.0807, R@10: 0.0674, N@10: 0.0606, R@50: 0.2133, N@50: 0.1162
Epoch: 015, aver_loss : 0.09246, R@20: 0.1136, N@20: 0.0815, R@10: 0.0682, N@10: 0.0613, R@50: 0.2152, N@50: 0.1173
Epoch: 016, aver_loss : 0.09171, R@20: 0.1144, N@20: 0.0822, R@10: 0.0689, N@10: 0.0619, R@50: 0.2170, N@50: 0.1183
Epoch: 017, aver_loss : 0.09082, R@20: 0.1155, N@20: 0.0829, R@10: 0.0694, N@10: 0.0624, R@50: 0.2181, N@50: 0.1191
Epoch: 018, aver_loss : 0.08977, R@20: 0.1164, N@20: 0.0836, R@10: 0.0700, N@10: 0.0629, R@50: 0.2200, N@50: 0.1201
Epoch: 019, aver_loss : 0.09009, R@20: 0.1172, N@20: 0.0841, R@10: 0.0704, N@10: 0.0633, R@50: 0.2208, N@50: 0.1206
Epoch: 020, aver_loss : 0.08740, R@20: 0.1178, N@20: 0.0845, R@10: 0.0709, N@10: 0.0637, R@50: 0.2217, N@50: 0.1212
Epoch: 021, aver_loss : 0.08748, R@20: 0.1184, N@20: 0.0850, R@10: 0.0713, N@10: 0.0640, R@50: 0.2227, N@50: 0.1217
Epoch: 022, aver_loss : 0.08720, R@20: 0.1191, N@20: 0.0855, R@10: 0.0717, N@10: 0.0644, R@50: 0.2240, N@50: 0.1224
Epoch: 023, aver_loss : 0.08553, R@20: 0.1199, N@20: 0.0860, R@10: 0.0721, N@10: 0.0647, R@50: 0.2249, N@50: 0.1230
Epoch: 024, aver_loss : 0.08567, R@20: 0.1204, N@20: 0.0864, R@10: 0.0724, N@10: 0.0650, R@50: 0.2258, N@50: 0.1235
Epoch: 025, aver_loss : 0.08436, R@20: 0.1207, N@20: 0.0866, R@10: 0.0724, N@10: 0.0651, R@50: 0.2266, N@50: 0.1239
